ship_node_org_cd,ship_node_org_nm,item_type,sort_flg,NEXT_GEN_FLAG,IP_Flag,fulmnt_channel,sales_qty
7201155,MACHINEHOME INC-Houston-TX-5f3c3a8b-fbdc-45da-a3d2-0c5ee91fbaa0,1P,Others,OTHER,Others,FC,1225
23909503,Schwarz Partners Packaging LLC-Milford-OH-2,1P,Others,OTHER,Others,FC,13448
633326,Josey Skateland Inc - Lewisville TX,1P,Others,OTHER,Others,FC,257
83068003,"GoLabs, Inc.-Chino-CA-3",1P,Others,OTHER,Others,FC,15
66170503,Textiles From Europe - Cranbury NJ,1P,Others,OTHER,Others,FC,11180
4494548,C&Q INTERNATIONAL CORP-Sumner-WA-aac54f90-7c3f-41a5-adc4-014b97536c29,1P,Others,OTHER,Others,FC,183
10811503,WILD GROUP DEVELOPMENT INC-Fontana-CA-cb1c7f6e-336c-40dd-987f-714897450eb0,1P,Others,OTHER,Others,FC,9
28021,IND3 Mccordsville IN FC 7552,1P,Sort,NEXT_GEN,Others,FC,2477922
6398119,UNICORN TIRE CORPORATION-Kutztown-PA-d0d05ed0-9684-4377-9ecb-1c59dffc191f,1P,Others,OTHER,Others,FC,6922
7739363,HONGGE LLC-Easton-PA-78a9c975-79fa-4454-a754-81ef42037251,1P,Others,OTHER,Others,FC,69
484423,Kent International Inc - Kearny NJ,1P,Others,OTHER,Others,FC,2
86186403,Carpenter Co - Elkhart IN,1P,Others,OTHER,Others,FC,3
47482175,ON DEMAND TIRES LLC-Bedford Park-IL-b749e679-05b8-4841-97d4-64eeb634b318,1P,Others,OTHER,Others,FC,971
669895,Aurora Corporation Of America - Torrance CA,1P,Others,OTHER,Others,FC,1012
23032604,PIC CORP-Vernon-CA-8c4c6fd2-ccb6-435c-ae96-71a9c1030cae,1P,Others,OTHER,Others,FC,262
42710821,"Healthcare Sc, LLC-Lockport-IL-c052bc4a-6571-45cb-a7f4-3b57e9893161",1P,Others,OTHER,Others,FC,176
48093206,Flybar Inc - Newburgh NY,1P,Others,OTHER,Others,FC,8
3686803,BESPOLITAN INC-Wood Ridge-NJ-3,1P,Others,OTHER,Others,FC,8553
5211217,"EMERY JENSEN DISTRIBUTION, LLC-Plant City-FL-5dedd56e-fbde-4aa4-92e3-e80b1a662244",1P,Others,OTHER,Others,FC,1257
627141,S&D Kids Online LLC - 627141 - MP,1P,Others,OTHER,Others,FC,1223
62832634,DELTICOM NORTH AMERICA INC-San Diego-CA-34,1P,Others,OTHER,Others,FC,94
83912613,YAHEE TECHNOLOGIES CORP.-Kansas City-MO-13,1P,Others,OTHER,Others,FC,32
47929202,Sport Squad Inc - Riverside CA,1P,Others,OTHER,Others,FC,17
47482205,ON DEMAND TIRES LLC-Goodlettsville-TN-442f4cf7-db29-42a3-998a-3a4b85f8adfc,1P,Others,OTHER,Others,FC,710
73332203,SPORT DIMENSION INC-South Gate-CA-5089ef40-17c3-4f93-8911-cd4e1559852a,1P,Others,OTHER,Others,FC,178
7042144,US NOVA LLC-Bloomington-CA-7862afd4-97f7-457a-b0cc-619c9d90cd09,1P,Others,OTHER,Others,FC,30
8149503,"HELLA AUTOMOTIVE SALES, INC.-Olive Branch-MS-da40f012-bc0a-44e6-a50d-0e7f9e10cf4e",1P,Others,OTHER,Others,FC,27
42535111,SIMPLE TIRE LLC-Arlington-TX-11,1P,Others,OTHER,Others,FC,65
8556,LAX2n Chino FC 7049,1P,Others,OTHER,Others,DFS,13
7201162,MACHINEHOME INC-Eastvale-CA-cae952e2-f01d-419c-9661-898d3640180a,1P,Others,OTHER,Others,FC,1
47482237,ON DEMAND TIRES LLC-Birdsboro-PA-811fd5fb-7a54-4ca3-8cb8-c08803055c28,1P,Others,OTHER,Others,FC,1748
840341,Abo Window Fashion Corp - Chino CA,1P,Others,OTHER,Others,FC,365
47482244,ON DEMAND TIRES LLC-Palmyra-NY-55fcf4b9-77c4-4f4b-a631-037c4df2f717,1P,Others,OTHER,Others,FC,277
9718714,Henkey Inc-Rancho Cucamonga-CA-14,1P,Others,OTHER,Others,FC,2
8245710,"Sophio, LLC-Hollywood-CA-10",1P,Others,OTHER,Others,FC,777
42535146,SIMPLE TIRE LLC-DENVER-CO-bf0699d9-850f-4eb2-9f6c-eb455997b1b6,1P,Others,OTHER,Others,FC,65
12569720,Weer Home Inc.-Annapolis Junction-MD-41dfea7d-8ad9-4dbd-b8eb-f6735fc87933,1P,Others,OTHER,Others,FC,18
38650,Linum Home Textiles LLC - Ridgefield NJ,1P,Others,OTHER,Others,FC,18
739733,Quest Products Inc - Pleasant Prairie WI,1P,Others,OTHER,Others,FC,630
12940604,RESPAWN LLC-Chino-CA-761eeeee-36d3-4d5f-86b1-afe5878339c4,1P,Others,OTHER,Others,FC,2
1235103,TRAVELWAY GROUP INTERNATIONAL INC.-Champlain-NY-2,1P,Others,OTHER,Others,FC,13
4456810,SINOWELL INC-Woodridge-IL-29b06db1-b509-40b8-9c3a-e3c7522b69df,1P,Others,OTHER,Others,FC,3
52725436,Goodyear Tire And Rubber Co - Jackson MS,1P,Others,OTHER,Others,FC,363
7242202,Sensio Inc-Fresno-CA-2,1P,Others,OTHER,Others,FC,13890
1525522,Clear Fork Liquor - Fort Worth,1P,Others,OTHER,Others,FC,44
62832668,DELTICOM NORTH AMERICA INC-NORTH CHARLESTON-SC-68,1P,Others,OTHER,Others,FC,69
455282,"I E INDUSTRIES FASHIONS, INC-West Hempstead-NY-76616dc2-429b-4728-96e1-a38bcd6350f7",1P,Others,OTHER,Others,FC,1113
755074,St James Home Inc - Gardena CA,1P,Others,OTHER,Others,FC,27
86207160,"ALVANTOR INDUSTRY CO., LTD.-Lithia Springs-GA-337fe024-08bc-41e9-bb61-56625be14eab",1P,Others,OTHER,Others,FC,197
728421,Sunny Outdoor Inc - Baldwin Park CA,1P,Others,OTHER,Others,FC,1030
44930603,Rust-Oleum Corporation - Riverside CA,1P,Others,OTHER,Others,FC,681
47482251,ON DEMAND TIRES LLC-Hampden-ME-2dba2fdb-00a0-4c07-ae46-2b9d53dc9c9e,1P,Others,OTHER,Others,FC,105
56827,Airflex5d LLC - Garden Grove CA,1P,Others,OTHER,Others,FC,1
1525228,Skyline Liquor and Beer - Mesa,1P,Others,OTHER,Others,FC,45
93753,undefined-Mooresboro-NC-1,1P,Others,OTHER,Others,FC,4095
47482159,ON DEMAND TIRES LLC-Tyler-TX-8db23c28-c640-45d2-8965-607b8c7c31e2,1P,Others,OTHER,Others,FC,280
61454258,SIMPLE TIRE LLC-Butte-MT-fa9a1c5a-6962-4cfa-acf3-4164e36eff79,1P,Others,OTHER,Others,FC,39
73966103,Ace Bayou Corp - Lewisburg TN,1P,Others,OTHER,Others,FC,22
487624,Combat Brands LLC - Lenexa KS,1P,Others,OTHER,Others,FC,265
9718765,Henkey Inc-Lakewood-WA-121c5572-b57b-4cf9-9ba4-610d24918b35,1P,Others,OTHER,Others,FC,10
9339814,Nexware E-Commerce LLC-Wood-Ridge-NJ-14,1P,Others,OTHER,Others,FC,1
63360529,Gigacloud Technology(usa) Inc.-Fontana-CA-29,1P,Others,OTHER,Others,FC,154
841044,Ferguson Enterprises Inc - Front Royal VA,1P,Others,OTHER,Others,FC,123
16047302,BUTLER HOME PRODUCTS LLC-Rancho Cucamonga-CA-2,1P,Others,OTHER,Others,FC,32
633438,Us Pride Furniture Corp - City Of Industry CA,1P,Others,OTHER,Others,FC,49
722101,Unique Designs Inc - Secaucus NJ,1P,Others,OTHER,Others,FC,249
43181206,Pratt Retail Specialties LLC - Lathrop CA,1P,Others,OTHER,Others,FC,2144
43192818,Gerojo LLC-Fontana-CA-b911e707-5a23-4616-9b01-e909b0b95128,1P,Others,OTHER,Others,FC,12
1525206,2915 W Ray Rd - Chandler,1P,Others,OTHER,Others,FC,3
73685,Peach Leaf Limited - Chino CA,1P,Others,OTHER,Others,FC,856
43626602,Kore Outdoor (us) Inc.-Fort Wayne-IN-2,1P,Others,OTHER,Others,FC,391
4494560,C&Q INTERNATIONAL CORP-Ontario-CA-0e8af605-005c-454a-abba-e0f8e133b8a8,1P,Others,OTHER,Others,FC,257
61454215,SIMPLE TIRE LLC-Kent-WA-ad3bf29f-bf7a-4ded-81d4-55ee3bae73c9,1P,Others,OTHER,Others,FC,540
47482173,ON DEMAND TIRES LLC-Decatur-IL-574a7230-2e22-4c10-b64e-0d1bd68f38d3,1P,Others,OTHER,Others,FC,145
47482184,ON DEMAND TIRES LLC-Grand Rapids-MI-c3ff4c08-324c-4cae-a044-1ece1a0ee9f9,1P,Others,OTHER,Others,FC,304
62832637,DELTICOM NORTH AMERICA INC-Miami-FL-37,1P,Others,OTHER,Others,FC,661
61454214,SIMPLE TIRE LLC-Spokane Valley-WA-08fdde18-61c8-45ac-98ec-873b02927b62,1P,Others,OTHER,Others,FC,127
6997702,Club Nine Pets-Newbury Park-CA-2,1P,Others,OTHER,Others,FC,5
50203204,"LCG SALES, INC-Chicago-IL-3",1P,Others,OTHER,Others,FC,909
421597,"Reach International, Inc.-Hialeah-FL-ec2ce887-881c-4ff9-9316-069fe5aab721",1P,Others,OTHER,Others,FC,51
27342736,HUMBLE CREW INC-Charleston-SC-4,1P,Others,OTHER,Others,FC,256
12569703,Weer Home Inc.-Rancho Cucamonga-CA-1e826ee2-145c-4911-9580-d14fccc1e1cd,1P,Others,OTHER,Others,FC,1403
819466,Lr Resources Inc - Dalton GA,1P,Others,OTHER,Others,FC,929
47689036,LLYTECH INC-Easton-PA-425999ba-304c-4b82-9545-e3f3a4b8dee6,1P,Others,OTHER,Others,FC,477
54074004,Tire Of Pi LLC - Memphis TN DC2,1P,Others,OTHER,Others,FC,21325
34255,Nobles Health Care Product Sol - Brooklyn NY,1P,Others,OTHER,Others,FC,107
43127641,Cofree-El Monte-CA-41,1P,Others,OTHER,Others,FC,3
7082724,SIMONFURNITURE INTERNATIONAL I-Marietta-GA-51bc33d9-a264-4e7c-9aa0-9a4871984ca5,1P,Others,OTHER,Others,FC,8
7082704,Simonfurniture International I - Powder Springs GA,1P,Others,OTHER,Others,FC,1
1525198,Asian-Mart (Edgewater) - Miami,1P,Others,OTHER,Others,FC,122
76889502,"SWEET HOME STORES, INC-mahwah-NJ-2",1P,Others,OTHER,Others,FC,817
1523697,470 Ansin Blvd - Hallandale Beach,1P,Others,OTHER,Others,FC,6
2957906,Essendant Co - Sacramento CA,1P,Others,OTHER,Others,FC,316
39168,Baby Banz Inc - Centerview MO,1P,Others,OTHER,Others,FC,27
485584,All The Rages Inc - Commerce CA,1P,Others,OTHER,Others,FC,2
63360512,COMPTREE INC-ONTARIO-CA-12,1P,Others,OTHER,Others,FC,178
9718760,Henkey Inc-Lithia Springs-GA-535a96ea-b3b3-4a91-8e5f-0bfab4a2e5a6,1P,Others,OTHER,Others,FC,113
7371012,OASISY. INC-Burlington-NJ-1e3ef022-cc8a-42fe-ace3-2eda263cca76,1P,Others,OTHER,Others,FC,11
78371204,ALLOCACOC CORPORATION-Tustin-CA-0392f5f2-bc45-4597-94c1-763296ecb81f,1P,Others,OTHER,Others,FC,2
61454246,SIMPLE TIRE LLC-Stillwater-OK-adf3c5f2-1cbc-4da3-be74-44fbc0ff184c,1P,Others,OTHER,Others,FC,1017
555253,Poolmaster - Sacramento CA,1P,Others,OTHER,Others,FC,379
42959417,Hengjian Home Furnishing (Hong-Lockport-IL-02c5bb5a-cf59-4eec-bcde-66e5112a3513,1P,Others,OTHER,Others,FC,9284
74666404,LIQUIPEL ASSURANCE LLC-Irvine-CA-5cd937dc-22ba-4ebd-a1a4-3a28e9a7275a,1P,Others,OTHER,Others,FC,1298
1525420,Rox Fine Wine and Spirits - Cumming,1P,Others,OTHER,Others,FC,26
42450903,Solmark International Inc.-Dixon-IL-3,1P,Others,OTHER,Others,FC,113
11511122,"Easyhome Co., Ltd.-Florence-NJ-86175018-6af5-4777-af79-545f5942dd35",1P,Others,OTHER,Others,FC,669
7439,ORD1s Joliet IL FC 7441,1P,Sort,NEXT_GEN,Others,DFS,248
1525099,The Studio Nail & Beauty Supply - Pembroke Pines,1P,Others,OTHER,Others,FC,5
61454218,SIMPLE TIRE LLC-Sacramento-CA-bdcfa3b8-d090-4a24-b399-c674d36a23c4,1P,Others,OTHER,Others,FC,1806
632003,Adeptus Usa Inc - Rogers AR,1P,Others,OTHER,Others,FC,68
52725452,Goodyear Tire And Rubber Co - Allentown PA,1P,Others,OTHER,Others,FC,957
472754,Barkan Usa Inc - Budd Lake NJ,1P,Others,OTHER,Others,FC,34
74209304,THE STEELSTONE GROUP LLC-Perris-CA-fce2dd8d-7b2c-465a-b5f8-dedf38798846,1P,Others,OTHER,Others,FC,44
52999303,BROADWAY BASKETEERS-Lakewood-NJ-1cad8066-5a31-4b23-9a63-703a16c0c9ea,1P,Others,OTHER,Others,FC,33
42535198,SIMPLE TIRE LLC-SALISBURY-MD-21a8e401-36ba-4569-b342-08cdb7d9b111,1P,Others,OTHER,Others,FC,3
48873403,L & B HOLDINGS INC-Winter Garden-FL-3,1P,Others,OTHER,Others,FC,28
42535185,SIMPLE TIRE LLC-HARRISONBURG-VA-ecc1a288-ae9f-4766-bb8d-3237061f38d1,1P,Others,OTHER,Others,FC,49
1525396,Big Poppa Liquors II - Miami,1P,Others,OTHER,Others,FC,2
47482241,ON DEMAND TIRES LLC-Latrobe-PA-6d3bc9bd-8979-48ab-aeef-7f5f5880e1bc,1P,Others,OTHER,Others,FC,501
87080302,Luna Gourmet Coffee And Tea - Denver CO,1P,Others,OTHER,Others,FC,2261
549568,Mga Entertainment Inc - Hudson OH,1P,Others,OTHER,Others,FC,4573
54074008,TIRE OF PI LLC-La Porte-TX-c602d0c4-be31-4d79-806b-6c4b19534d09,1P,Others,OTHER,Others,FC,2929
167783,HMS MFG CO-Youngstown-OH-1,1P,Others,OTHER,Others,FC,1553
9290208,Qiduo Innovation Inc-Lockport-IL-bb46b42d-a439-4ba7-836f-396b3df9a8e7,1P,Others,OTHER,Others,FC,455
